"","RNA","Methylation"
"Factor1",10.4825518820414,30.6093194515785
"Factor2",11.3130872590445,5.69795990457517
"Factor3",7.92140885821457,0.373491493168909
"Factor4",0.508271528370086,6.86496425522258
"Factor5",5.8735819119708,0.101403754575269
"Factor6",2.73835498439846,2.27280964358477
"Factor7",3.54749404949484,1.0286494646129
"Factor8",2.03367078606028,0.948186582313748
"Factor9",1.01941558265013,1.86080678859384
"Factor10",1.82263729001247,0.974265409070274
"Factor11",2.17451331908003,0.171563987348111
"Factor12",1.87491390691445,0.283627198377201
"Factor13",0.411742339215804,1.46347023439477
"Factor14",1.53029014092976,0.330403006205648
"Factor15",0.91248623210487,0.513436120272626
