"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"TCGA-LL-A440-01",-1.6795107126236,1.04780733585358,0.759033560752869,0.774762570858002,0.410919994115829,1.59963858127594,-0.235439166426659,-0.46272137761116,-0.725829660892487,-0.0354062840342522,0.080032654106617,0.325683176517487,-0.241933584213257,-0.720275044441223,0.686607480049133
"TCGA-BH-A8FY-01",3.12435460090637,0.300985366106033,0.354182362556458,-1.19916903972626,0.0502211526036263,-0.248487696051598,-1.21975612640381,-0.60875678062439,-3.21516418457031,0.703378677368164,0.218301519751549,1.2233943939209,1.18754601478577,0.840830683708191,-0.184452682733536
"TCGA-E2-A1II-01",-2.08630084991455,-2.32672309875488,-1.38047909736633,0.292898654937744,-1.22532939910889,-0.118630714714527,-0.0918754711747169,1.59792053699493,-1.2483161687851,-1.42663967609406,-1.7008661031723,0.0501350574195385,0.172628939151764,0.303296118974686,-0.754180490970612
"TCGA-A7-A6VX-01",1.76925086975098,-0.19326975941658,-0.605462968349457,-0.463912785053253,0.0740896016359329,-1.54650473594666,1.11322796344757,-2.54540252685547,1.50519859790802,-0.298531323671341,-0.197452083230019,0.584076046943665,0.0483187437057495,0.242335766553879,0.0964804291725159
"TCGA-C8-A273-01",1.53277122974396,0.612938165664673,-0.241451784968376,-0.852024972438812,-1.25070869922638,0.0988637208938599,-1.07667756080627,1.21744573116302,0.0579091086983681,-0.468819141387939,0.625498116016388,-1.88010501861572,-0.665245532989502,-0.312122374773026,1.01785004138947
"TCGA-BH-A1EO-01",1.9839369058609,0.138425335288048,-1.16248750686646,0.628752291202545,-0.026895884424448,0.786454260349274,-0.124125860631466,-1.66443407535553,-0.0694088414311409,-1.61679923534393,-0.350661844015121,-1.78260731697083,1.08469569683075,-0.264512896537781,0.542796730995178
"TCGA-OL-A5RX-01",-0.261309564113617,0.75901198387146,2.08546757698059,1.2015380859375,0.451745569705963,-0.784492909908295,0.495597422122955,-0.740572333335876,-0.658801853656769,-0.00793284364044666,-0.437967985868454,0.503213822841644,-0.0116730080917478,0.266994029283524,0.990040123462677
"TCGA-BH-A0B9-01",-2.75626397132874,-2.28901386260986,0.179810777306557,0.36137467622757,-0.674412608146667,-0.90674215555191,-0.0371348522603512,0.787432909011841,0.00230890116654336,-0.940463721752167,-0.0331130735576153,0.357079207897186,-0.625395834445953,0.342462480068207,-1.01457810401917
"TCGA-EW-A1P5-01",0.660813212394714,1.44127523899078,-0.741272211074829,0.64318835735321,-0.924526035785675,-1.55950880050659,-0.287443518638611,1.26867520809174,-0.540856242179871,-0.412281334400177,1.20490515232086,-1.01247072219849,-0.0169519539922476,1.36319923400879,0.78130441904068
"TCGA-A2-A1G0-01",-0.855659067630768,1.65091240406036,0.524515569210052,-1.52132892608643,0.445242255926132,-0.645392894744873,-0.562097251415253,0.115501374006271,1.12120258808136,-1.47775590419769,-1.14991307258606,-0.588358759880066,0.428093612194061,0.307077795267105,0.524955451488495
"TCGA-A7-A4SA-01",-1.01336586475372,0.978699803352356,-0.11179768294096,-1.26954448223114,0.927334308624268,0.341411054134369,0.204353973269463,0.422380834817886,0.492540687322617,-1.14140462875366,-0.187891840934753,0.152870342135429,-0.444842994213104,-0.631547331809998,-0.518519937992096
"TCGA-E9-A1RC-11",-3.4532744884491,0.886638402938843,-4.15089797973633,0.334398746490479,3.28067302703857,1.83268785476685,-1.1430835723877,-1.1987282037735,-0.0439462587237358,0.125496253371239,-0.41816183924675,-0.649101793766022,-0.71694415807724,-0.184311270713806,-0.0533995851874352
"TCGA-A7-A0DB-11",-3.58866024017334,0.847845137119293,-3.73027396202087,0.634120106697083,2.8432776927948,2.07010126113892,-1.00602245330811,-0.634880185127258,-0.137787222862244,-0.0415001921355724,1.12029135227203,-1.1058144569397,-0.297020494937897,0.20783893764019,-0.284365266561508
"TCGA-AR-A24S-01",-0.353637963533401,0.43875789642334,-0.940834641456604,-2.42259120941162,0.477566719055176,-0.421949237585068,1.51946210861206,-1.35902285575867,0.797488391399384,-0.89702320098877,-0.819908618927002,-0.0665794610977173,-1.73463952541351,-0.46070608496666,-0.723158538341522
"TCGA-BH-A0H9-11",-3.54190564155579,0.943833947181702,-4.2611083984375,0.574234426021576,3.11890029907227,1.949538230896,-1.38252675533295,-1.319620013237,-0.0900901183485985,0.320616096258163,0.786589026451111,0.232117548584938,-0.376638293266296,-0.691732704639435,-0.110854223370552
"TCGA-LD-A74U-01",0.283985912799835,0.231432303786278,1.4350643157959,1.34580636024475,0.635952055454254,0.563452124595642,0.38247737288475,-0.740049719810486,-0.294683516025543,1.20710849761963,-0.208233028650284,-0.052615087479353,-0.43648025393486,-1.47216546535492,-0.876136183738708
"TCGA-D8-A1XA-01",2.20451283454895,0.525176286697388,-0.975527107715607,-1.84050238132477,0.199157238006592,-0.0162893161177635,-0.356519639492035,0.281887143850327,-0.732001185417175,-0.178469300270081,0.410346388816833,-0.423353254795074,-0.141718029975891,0.379915446043015,2.08385348320007
