"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6","Factor7","Factor8","Factor9","Factor10","Factor11","Factor12","Factor13","Factor14","Factor15"
"DHRS2",0.286963582038879,0.346192747354507,0.222343027591705,-0.0124780666083097,-0.0387250557541847,0.223966285586357,0.11473973095417,-0.060384463518858,0.182606428861618,-0.103050418198109,0.236646234989166,0.0169564075767994,-0.0502904020249844,0.0623582564294338,0.0532930828630924
"MYBPC1",-0.199707508087158,0.0918291285634041,0.4864581823349,0.0454910583794117,0.00440974067896605,-0.0831652507185936,0.0230511780828238,-0.23150072991848,-0.200197443366051,-0.0287419222295284,-0.159894540905952,-0.00647847075015306,0.140745401382446,0.116794534027576,0.015038289129734
"KRT14",-0.241662710905075,-0.000588535040151328,0.888258934020996,-0.00270073115825653,0.0664931982755661,0.0445848368108273,-0.221683084964752,-0.000560629006940871,-0.048445925116539,-0.110025182366371,0.372828364372253,-0.204486042261124,0.0101822819560766,-0.179377540946007,-0.0051216185092926
"C4orf7",-0.331516593694687,-0.279138803482056,0.51530784368515,0.095957487821579,0.00202165800146759,0.0862218216061592,0.047787006944418,0.195125430822372,-0.16064877808094,-0.28685462474823,-0.140034213662148,0.0176817737519741,0.0908903852105141,-0.0210604555904865,-0.0934305861592293
"SLC30A8",0.198187753558159,0.246034905314445,0.0684911757707596,-0.069677397608757,0.0010655028745532,-0.0663493871688843,0.0496843717992306,0.226702436804771,0.148908615112305,0.238904356956482,-0.0746879801154137,0.0155584458261728,-0.0448504537343979,-0.149631902575493,-0.195589333772659
"GABRP",-0.36214491724968,-0.30795356631279,0.739376664161682,-0.00722455466166139,0.0493041947484016,-0.0394929610192776,-0.243512660264969,0.0574892684817314,-0.0465637929737568,-0.185939535498619,0.0270524024963379,-0.20796275138855,0.0164046045392752,-0.0110310260206461,-0.0722447484731674
"SOX10",-0.336172997951508,-0.173242285847664,0.760403573513031,-0.00659389747306705,0.0680523812770844,-0.0168809536844492,-0.370530754327774,-0.0970845371484756,-0.0894663706421852,-0.133217424154282,-0.0543661676347256,-0.0889496058225632,0.00784292910248041,-0.213466688990593,-0.00778755126520991
"STAC2",-0.310523927211761,-0.138693451881409,0.742808997631073,-0.00783044006675482,0.0216245464980602,0.129668220877647,-0.000698999094311148,-0.160474076867104,-0.01209747325629,0.0644915252923965,0.0111436331644654,-0.0123005751520395,0.0798753872513771,0.0372939109802246,0.114624716341496
"KRT5",-0.278704941272736,-0.0979899913072586,0.820415556430817,0.00681469729170203,0.035590223968029,0.0731924250721931,-0.156068414449692,0.0627386420965195,-0.0417106226086617,-0.129001036286354,0.344447135925293,-0.304029047489166,0.0210262797772884,-0.0143071878701448,-0.0154699105769396
"VSTM2A",0.24723856151104,0.148175105452538,0.0264848489314318,-0.00173647375777364,-0.00746665289625525,0.0912394821643829,0.0261909756809473,0.0795701220631599,0.229681432247162,-0.117869541049004,-0.0182763431221247,-0.00097063957946375,-0.021658955141902,-0.196515068411827,-0.00512222526594996
