gene
TTN
MUC16
TP53
CSMD3
LRP1B
RYR2
SYNE1
DNAH5
PCLO
OBSCN
USH2A
ZFHX4
FLG
FAT4
DST
CSMD1
XIRP2
FAT3
NEB
RYR3
DNAH8
HMCN1
MUC17
APOB
RYR1
GPR98
KMT2D
SPTA1
DNAH9
PCDH15
PIK3CA
AHNAK2
MUC5B
DNAH7
LRP2
KMT2C
DMD
CSMD2
PKHD1L1
DNAH3
DNAH11
HYDIN
ABCA13
ANK3
MACF1
SYNE2
FAT1
RELN
CACNA1E
DNAH10
AHNAK
PTEN
PDE4DIP
FCGBP
ANK2
HERC2
DNAH17
TENM1
FAM135B
SACS
SSPO
COL11A1
APC
NAV3
PAPPA2
PLEC
PKHD1
CUBN
XIST
NPAP1
DCHS2
MXRA5
COL6A3
ARID1A
DNAH2
TPTE
MGAM
DSCAM
LRP1
RP1
ATRX
GPR112
FAT2
ZFHX3
ZNF536
RNF213
TENM3
NRXN1
VCAN
PTPRD
SI
HUWE1
UNC13C
MUC4
LAMA2
MDN1
THSD7B
LAMA1
TNXB
MYH2
